3,Adams Cheddar 200 gm,200gm,72,381.13
4,Adams Cheddar 400 gm,400gm,36,741.2
5,Adams Cheddar  907 gm,907gm,18,1263.6
6,Adams Cheddar 2 Kg,2Kg,10,2059.2
7, Adams  Mozzrella Cheese 200 gm,200gm,72,409.5
8, Adams  Mozzrella Cheese 400 gm,400gm,36,803.79
9, Adams Buffalo Mozz 200 gm,200gm,72,409.5
10,Adams Buffalo Mozz 400 gm,400gm,36,803.79
11,Adams Buffalo Mozz 2 KG,2KG,8,2767.05
12,Adams Pizza Cheese 200 Gm,200Gm,72,444.6
13,Adams Pizza Cheese 400 Gm,400Gm,36,868.73
14,Adams Pizza Cheese 2 KG,2KG,8,2416.05
15,Adams Single Cheese Slice 200 Gm,200Gm,72,377.33
16,Adams Single Cheese Slice 1 KG,1KG,15,1158.3
17,Adams Burger Cheese Slice 200 Gm,200Gm,72,424.13
18,Adams Burger Cheese Slice 1 Kg,1Kg,15,1199.25
19,Adams Chilli Cheese 200 Gm,200Gm,72,381.13
20,Adams Diet Cheese 200 Gm,200Gm,72,424.13
21,Adams Cottage Cheese 200 Gm,200Gm,72,330.23
22, Adams Mozzarella Single 200 Gm,200Gm,72,424.13
23,ADAM'S TOAST CHEESE SLICES 200GM,200GM,72,389.61
24,ADAM'S SANDWICH CHEESE SLICES 200GM,200GM,72,389.61
25,Amson Yoghurt 1 Kg,1Kg,25,169.65
26,Amson Yoghurt 1/2 Kg,2Kg,50,88.92
27,Adams Yoghurt  Plain 400 Gm,400Gm,12,123.94
28,Adams Yoghurt Plain 200 Gm,200Gm,60,67.18
29,Adams Mint Raita 200 Gm,200Gm,60,67.18
30,Adams Zeera Raita 200 Gm,200Gm,60,67.18
31,Adams Zeera Raita 80 Gm,80Gm,150,21.06
32,Adams Salted Butter 50 Gm,50Gm,120,78.98
33,Adams Salted Butter  100 Gm,100Gm,60,154.44
34, Adams  Salted Butter200 Gm,200Gm,30,274.95
35,Adams White Butter 1 Kg,1Kg,12,1023.75
36,Adams Desi Ghee 500 Gm,500Gm,18,558.68
37,Adams Desi Ghee  1 Kg,1Kg,12,1092.2
38,Adams Desi Ghee 2.5 Kg,5Kg,4,2670.53
39,Adams Sweet Lassi 225 Ml,225Ml,48,46.8
40,Adams Salted Lassi 225 Ml,225Ml,48,46.8
41,Adams Pasteurized Milk Pouch 1 Liter,25,25,111.25
42,Unbranded Adams Cheddar 2 Kg,10,10,1760
43,Unbranded Adams Buffalo Mozzarella 2kG,8,8,2365
44,Unbranded Adams Pizza Cheese 2 Kg,8,8,2065
45,Unbranded Adams Slice Cheese 1 KG,15,15,990
46,Unbranded Adams Burger Slice Cheese 1 Kg,15,15,1025
47,Unbranded Kaas Cheddar Cheese 2KG,10,10,1620
48,Unbranded Kaas Mozzarella 2 KG,8,8,2130
49,Unbranded Kaas Slice Cheese I Kg,15,15,880
50,Unbranded Burger Slice Cheese (Kaas) 1 Kg,15,15,915
51,UB Mix (Cheddar/D. Mozzarella) 2Kg,3,3,1970
52,UB Mix (D. Mozzarella-70/Cheddar-30) 2Kg,3,3,2035
53,Unbranded Danish Mozzeralla (A) 2 KG,8,8,2120
54,Adams Burger Cheese 2 Kg,10,10,1980
55,Unbranded White Butter 1 KG,12,12,875
56,UB Mix(D. Mozzarella) 2 Kg,3,3,2145
57,Adams Yoghurt Plain 80 Gm,80Gm,150,21.06
