,Mumtaz Brothers,Unnamed: 1,Unnamed: 2
2,Brands,Wt/gms,Packing
3,Adams Cheddar 200 gm,200gm,72
4,Adams Cheddar 400 gm,400gm,36
5,Adams Cheddar  907 gm,907gm,18
6,Adams Cheddar 2 Kg,2Kg,10
7, Adams  Mozzrella Cheese 200 gm,200gm,72
8, Adams  Mozzrella Cheese 400 gm,400gm,36
9, Adams Buffalo Mozz 200 gm,200gm,72
10,Adams Buffalo Mozz 400 gm,400gm,36
11,Adams Buffalo Mozz 2 KG,2KG,8
12,Adams Pizza Cheese 200 Gm,200Gm,72
13,Adams Pizza Cheese 400 Gm,400Gm,36
14,Adams Pizza Cheese 2 KG,2KG,8
15,Adams Single Cheese Slice 200 Gm,200Gm,72
16,Adams Single Cheese Slice 1 KG,1KG,15
17,Adams Burger Cheese Slice 200 Gm,200Gm,72
18,Adams Burger Cheese Slice 1 Kg,1Kg,15
19,Adams Chilli Cheese 200 Gm,200Gm,72
20,Adams Diet Cheese 200 Gm,200Gm,72
21,Adams Cottage Cheese 200 Gm,200Gm,72
22, Adams Mozzarella Single 200 Gm,200Gm,72
23,ADAM'S TOAST CHEESE SLICES 200GM,200GM,72
24,ADAM'S SANDWICH CHEESE SLICES 200GM,200GM,72
25,Amson Yoghurt 1 Kg,1Kg,25
26,Amson Yoghurt 1/2 Kg,2Kg,50
27,Adams Yoghurt  Plain 400 Gm,400Gm,12
28,Adams Yoghurt Plain 200 Gm,200Gm,60
29,Adams Mint Raita 200 Gm,200Gm,60
30,Adams Zeera Raita 200 Gm,200Gm,60
31,Adams Zeera Raita 80 Gm,80Gm,150
32,Adams Salted Butter 50 Gm,50Gm,120
33,Adams Salted Butter  100 Gm,100Gm,60
34, Adams  Salted Butter200 Gm,200Gm,30
35,Adams White Butter 1 Kg,1Kg,12
36,Adams Desi Ghee 500 Gm,500Gm,18
37,Adams Desi Ghee  1 Kg,1Kg,12
38,Adams Desi Ghee 2.5 Kg,5Kg,4
39,Adams Sweet Lassi 225 Ml,225Ml,48
40,Adams Salted Lassi 225 Ml,225Ml,48
41,Adams Pasteurized Milk Pouch 1 Liter,25,25
42,Unbranded Adams Cheddar 2 Kg,10,10
43,Unbranded Adams Buffalo Mozzarella 2kG,8,8
44,Unbranded Adams Pizza Cheese 2 Kg,8,8
45,Unbranded Adams Slice Cheese 1 KG,15,15
46,Unbranded Adams Burger Slice Cheese 1 Kg,15,15
47,Unbranded Kaas Cheddar Cheese 2KG,10,10
48,Unbranded Kaas Mozzarella 2 KG,8,8
49,Unbranded Kaas Slice Cheese I Kg,15,15
50,Unbranded Burger Slice Cheese (Kaas) 1 Kg,15,15
51,UB Mix (Cheddar/D. Mozzarella) 2Kg,3,3
52,UB Mix (D. Mozzarella-70/Cheddar-30) 2Kg,3,3
53,Unbranded Danish Mozzeralla (A) 2 KG,8,8
54,Adams Burger Cheese 2 Kg,10,10
55,Unbranded White Butter 1 KG,12,12
56,UB Mix(D. Mozzarella) 2 Kg,3,3
57,Adams Yoghurt Plain 80 Gm,80Gm,150
58,,,
